source_row,partition
0,validation
1,train
2,test
3,train
4,validation
5,validation
6,train
7,train
8,validation
9,train
10,train
11,test
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,validation
28,validation
29,test
30,test
31,validation
32,validation
33,train
34,train
35,validation
36,test
37,validation
38,train
39,validation
40,validation
41,train
42,validation
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,validation
51,train
52,train
53,train
54,train
55,test
56,test
57,train
58,train
59,train
60,train
61,test
62,train
63,train
64,train
65,validation
66,validation
67,train
68,train
69,train
70,train
71,test
72,train
73,test
74,validation
75,validation
76,train
77,test
78,train
79,test
80,test
81,train
82,validation
83,validation
84,test
85,train
86,train
87,train
88,validation
89,train
90,train
91,train
92,train
93,train
94,validation
95,train
96,test
97,train
98,validation
99,train
100,train
101,test
102,test
103,validation
104,validation
105,train
106,validation
107,train
108,validation
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,validation
117,validation
118,train
119,validation
120,train
121,validation
122,train
123,validation
124,train
125,test
126,train
127,train
128,train
129,validation
130,test
131,test
132,validation
133,train
134,test
135,test
136,validation
137,train
138,train
139,train
140,test
141,validation
142,train
143,train
144,train
145,validation
146,test
147,train
148,test
149,train
150,train
151,test
152,validation
153,validation
154,train
155,train
156,train
157,test
158,train
159,train
160,test
161,train
162,train
163,train
164,validation
165,validation
166,train
167,test
168,train
169,test
170,train
171,train
172,validation
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,validation
182,train
183,train
184,train
185,validation
186,train
187,validation
188,test
189,train
190,train
191,train
192,validation
193,train
194,train
195,test
196,test
197,train
198,train
199,validation
200,validation
201,test
202,validation
203,train
204,validation
205,train
206,validation
207,train
208,train
209,train
210,train
211,train
212,validation
213,train
214,train
215,train
216,validation
217,test
218,validation
219,train
220,validation
221,validation
222,train
223,train
224,train
225,test
226,train
227,train
228,train
229,test
230,train
231,train
232,train
233,train
234,validation
235,validation
236,train
237,validation
238,train
239,validation
240,train
241,validation
242,validation
243,train
244,validation
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,test
253,train
254,train
255,validation
256,test
257,train
258,test
259,train
260,train
261,train
262,validation
263,validation
264,test
265,train
266,test
267,train
268,test
269,train
270,validation
271,train
272,validation
273,test
274,train
275,validation
276,test
277,train
278,test
279,test
280,test
281,validation
282,train
283,test
284,test
285,test
286,train
287,train
288,train
289,train
290,test
291,train
292,test
293,train
294,train
295,train
296,train
297,train
298,test
299,train
300,train
301,train
302,train
303,test
304,train
305,train
306,train
307,train
308,train
309,train
310,validation
311,train
312,test
313,train
314,train
315,train
316,validation
317,train
318,train
319,test
320,train
321,train
322,test
323,train
324,train
325,train
326,test
327,train
328,train
329,train
330,train
331,train
332,train
333,validation
334,train
335,train
336,validation
337,train
338,test
339,validation
340,train
341,train
342,train
343,train
344,test
345,test
346,validation
347,train
348,train
349,train
350,validation
351,train
352,test
353,train
354,test
355,train
356,train
357,train
358,train
359,train
360,validation
361,validation
362,train
363,train
364,test
365,train
366,train
367,train
368,test
369,train
370,test
371,test
372,train
373,train
374,train
375,validation
376,test
377,test
378,test
379,train
380,train
381,validation
382,validation
383,train
384,train
385,train
386,test
387,train
388,validation
389,train
390,train
391,train
392,train
393,test
394,validation
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,test
403,train
404,validation
405,train
406,train
407,train
408,validation
409,train
410,validation
411,train
412,train
413,validation
414,train
415,validation
416,validation
417,train
418,test
419,train
420,validation
421,train
422,train
423,test
424,train
425,train
426,train
427,test
428,train
429,train
430,test
431,train
432,train
433,test
434,validation
435,train
436,train
437,test
438,train
439,validation
440,train
441,train
442,train
