Id,Cluster,Segment,PC1,PC2,PC3
1826,2,Affluent omnichannel loyalists,4.4722080869281955,-1.7556814021336076,-2.3436069431475715
1,3,Deal-oriented wine shoppers,0.2531249636151603,-0.01887677790063312,0.2629157227867027
10476,3,Deal-oriented wine shoppers,-0.19913859205201803,-0.3931305517824357,1.5233938582069821
1386,1,Budget family browsers,-2.9479798558046375,-0.466661323814121,0.01832557222990204
5371,1,Budget family browsers,-2.434817262305971,-0.8238362057595252,-1.4566049937025336
7348,2,Affluent omnichannel loyalists,3.6007920921038266,-2.171919445001551,-1.416388194065591
4073,2,Affluent omnichannel loyalists,2.744259730231403,0.43696034990305294,-0.7474967791680952
1991,1,Budget family browsers,-1.648483331711373,-0.36897786352163836,1.0823953922204952
4047,3,Deal-oriented wine shoppers,0.43696927980636546,1.1192253846649045,0.9654188895122047
9477,3,Deal-oriented wine shoppers,0.43696927980636546,1.1192253846649045,0.9654188895122047
2079,2,Affluent omnichannel loyalists,3.305789978092443,-1.3002975379392379,0.2708894092217954
5642,1,Budget family browsers,-1.1028802024233968,-0.8354290936967844,-0.11926255489564981
10530,2,Affluent omnichannel loyalists,2.657482476161134,-1.6203539514813408,-0.27566960345121366
2964,1,Budget family browsers,-1.8864270226162558,-1.491801520754146,-0.34585252381299575
10311,3,Deal-oriented wine shoppers,0.9970043807022627,2.9264238038496284,-2.0011652630816474
837,1,Budget family browsers,-1.4550402963564115,0.4315920768598641,0.045110125308933983
10521,1,Budget family browsers,-1.4550402963564115,0.4315920768598641,0.045110125308933983
10175,1,Budget family browsers,-2.0232426313035816,-0.7122420935773822,1.1349752018964394
1473,1,Budget family browsers,-2.0599709426556574,0.25460069613709246,0.4534139723022285
2795,1,Budget family browsers,-3.4532763208990427,-0.4896930908263836,-0.6794819448388327
2285,3,Deal-oriented wine shoppers,-1.0975873136904528,1.07569106892121,0.11223785350992037
115,3,Deal-oriented wine shoppers,-0.5117191680945631,0.9462395517568956,0.5806854260455281
10470,1,Budget family browsers,-1.941353891985193,-1.171280070795452,-0.4806590716497537
4065,1,Budget family browsers,-1.1581864465800968,0.09755839374170402,-0.7061790370166959
10968,3,Deal-oriented wine shoppers,1.195855109358449,1.588736599920018,-0.21356101302844482
5985,1,Budget family browsers,-1.9802164205331358,0.45134371705913023,0.39952931895149474
5430,3,Deal-oriented wine shoppers,-0.6431500674000536,4.691505525385487,-1.8753305288514466
8432,3,Deal-oriented wine shoppers,-0.6431500674000536,4.691505525385487,-1.8753305288514466
453,1,Budget family browsers,-2.4816362116636626,-0.17029446075590307,0.1638153454774773
9687,2,Affluent omnichannel loyalists,2.3360219203945047,-1.661871224462869,-0.7514769129256281
8890,1,Budget family browsers,-1.2045283412952048,0.8657668251468797,-0.018023229204681124
9264,2,Affluent omnichannel loyalists,4.996047917569147,-1.2974904333357657,-1.6114725952111602
5824,1,Budget family browsers,-3.3032377261999253,-0.60816111365088,-0.4426694949221248
5794,3,Deal-oriented wine shoppers,-0.8878700897617521,1.7860599348687551,0.28124516773228175
3068,1,Budget family browsers,-2.198518837200688,-1.2537096268849113,-0.4696992186668908
7962,2,Affluent omnichannel loyalists,2.771011670309058,-1.1578303741633644,1.0174897270689967
2681,2,Affluent omnichannel loyalists,2.0887176364771864,-1.7216271902135953,-0.05632927473598047
