PC,ExplainedVarianceRatio,CumulativeVarianceRatio,Eigenvalue
PC1,0.4145638588381332,0.4145638588381332,6.221235219723655
PC2,0.12234827845976728,0.5369121372979004,1.8360438393247778
PC3,0.06866507634453999,0.6055772136424404,1.0304361613115416
PC4,0.06687178891635087,0.6724490025587913,1.003524835904148
PC5,0.0516865016004348,0.724135504159226,0.7756437935572166
PC6,0.050343171000673995,0.7744786751599,0.7554848350257458
PC7,0.04181908865753337,0.8162977638174334,0.6275664934761591
PC8,0.03162138907434266,0.847919152891776,0.47453268106204216
PC9,0.030839158850331123,0.8787583117421072,0.462793987213544
PC10,0.028261665145408153,0.9070199768875153,0.4241143139284114
PC11,0.02622910985926607,0.9332490867467814,0.3936123676959979
PC12,0.023375835827897536,0.9566249225746789,0.3507941419461173
PC13,0.01690962641026665,0.9735345489849455,0.25375768083294287
PC14,0.015195487738619609,0.9887300367235651,0.22803411702439413
PC15,0.011269963276434631,0.9999999999999997,0.16912495135694655
