,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Income,0.3411805997962656,0.04326575673629348,0.24597425543449766,-0.059015379330157804,-0.1817983035358803,0.08319466239684943,0.008988249747268844,0.2252880084815529,0.21782625844738493,0.1888463889055485,0.05628573665637262,0.07453681003038276,0.047674045391910454,-0.2641128232798608,0.7503777829643596
Kidhome,-0.26630778408958855,-0.01562541941731638,-0.3466083031749388,0.15251062502720342,-0.4167495808537585,0.18547801072272277,0.0071430443088548404,0.5973274221120133,0.21478652057005324,0.2872029250852303,0.1589748120192394,-0.08421829464627699,-0.036646246145442526,0.21229501786110944,-0.11449551240952889
Teenhome,-0.05070862674387865,0.5128935356681533,0.39675865743240557,-0.06527564856853559,0.2117913992545885,0.5333998026685598,0.024672181596804506,-0.11821168155400384,0.14741654559317932,0.278239174653964,0.14183608355042854,-0.1700532437296515,0.13752020297810144,0.18635730171289697,-0.16404798858511446
Recency,0.006250014603821537,-0.0014368893853513426,0.2545582379565708,0.9595140049740984,0.06323449051293807,-0.06602472397608984,-0.05615016311036292,-0.006749736023367352,-0.038050776589546954,0.0027923204758897916,0.0036571006323080084,0.03217367390258974,-0.002885571493895196,-0.009054544091313184,0.018468786408998534
MntWines,0.3019283366593181,0.20237233123264922,0.1382322329280279,-0.0421060777696397,-0.19076221346349048,-0.39696625209342123,-0.10018017148325806,0.07834544374844048,-0.02810606133805105,0.23542798794737466,0.13049580742356076,-0.47639608040107806,-0.20173215133785438,-0.403524270998924,-0.3648709043331752
MntFruits,0.28316789018959265,-0.1180711933445032,-0.29032207797839316,0.054934614980886864,0.12772737566256573,0.28543923582845876,-0.21832455462174108,-0.07643734955422676,-0.37065908963514893,0.5770971082333443,-0.4131291049733591,0.08183542582720581,-0.13260177700154224,-0.039590567813807716,-0.01788092001857264
MntMeatProducts,0.32108975944414064,-0.1326973754414031,-0.02775690609578893,0.04247769328107027,-0.3997429698800186,-0.03794714297219854,0.12654112507580778,-0.2314123053587918,0.08449050587453247,0.09705676724305404,-0.05377484864436089,0.07976466180536247,0.7509878997423135,0.07626856835539182,-0.22429158763715906
MntFishProducts,0.29233458934783685,-0.13488100586919924,-0.2875374252233752,0.06718999209685594,0.0945137485064725,0.24192476600355806,-0.048375585179816355,-0.15595564664545683,-0.16984685205663794,-0.060864293021795066,0.8143773931576624,0.09254252175424837,-0.06065798490430667,-0.08279667778478142,-0.013068321905335512
MntSweetProducts,0.2823963782675745,-0.09447245608499655,-0.2643838613045089,0.09328860741214308,0.13156420852043949,0.27203208234543125,-0.3507398982024328,-0.04314697391376515,0.5300853813338983,-0.37235139459679306,-0.22185979193670316,-0.3818025926603407,-0.01427793955468511,-0.031975883763741934,-0.026029628326979613
MntGoldProds,0.23144114476780883,0.1473288258157883,-0.3042037574960819,0.09235064715877175,0.45103217186136735,-0.09564227995353111,0.7061477834343334,0.2499902453068291,0.019252734884419035,0.010218303787642314,-0.07729315621753831,-0.16440886233071178,0.12294328767047098,-0.024868239969753948,0.027023989976575024
NumDealsPurchases,-0.05259169577856527,0.5643419188079186,-0.27401047997021166,0.10992174529562951,-0.40452749410263955,0.2572647091999944,0.13314183547625286,-0.14054330570441315,-0.20771361998788762,-0.32508549642016893,-0.16570126982908145,0.13109684326170631,-0.0789389520187177,-0.3519591439484712,0.02656252190269804
NumWebPurchases,0.21897835214431602,0.4220008045307849,-0.16103973728744556,-0.011131903836755072,0.17925105704040897,-0.32981414325866204,-0.27001936791277087,0.09525047704891665,0.33521312440188555,0.0771660204936892,0.028340568608183982,0.6059263361967606,-0.0383038852895039,0.1189010960657462,-0.1521106785843889
NumCatalogPurchases,0.3277091833528372,0.01690392466701073,0.04547663403762569,0.027239670167179965,-0.32366749302677805,-0.05341784111193551,0.29803137205451513,-0.3027651405530061,0.0987119481728964,0.002137874308074509,-0.03925177065394876,-0.05176881536804401,-0.5030632944224821,0.5745581965834194,0.06517785919822176
NumStorePurchases,0.2992584333620356,0.19741959990031782,0.10120475458816723,-0.05474552726081137,-0.005629483508281115,-0.030907677707152827,-0.2785850706041491,0.4264697854585501,-0.5112298654928591,-0.33008142933994256,-0.017516112184227,-0.15073447752040375,0.18262294552042233,0.4072988221258723,0.07194740044059736
NumWebVisitsMonth,-0.26302770342862697,0.2786892199633064,-0.3667886670082374,0.06358370062259419,0.040966300994837564,-0.32993401125613686,-0.20327169872313794,-0.34906466617825493,-0.033170347614007625,0.20854574507143359,0.11098367642376895,-0.35536462388876006,0.20513780906759435,0.19398384123764473,0.4218619145352401
