PC,ExplainedVarianceRatio,CumulativeVarianceRatio,Eigenvalue
PC1,0.999793058070331,0.999793058070331,458287722.10406506
PC2,0.00013437154239730195,0.9999274296127283,61593.574374005475
PC3,5.694661263114105e-05,0.9999843762253594,26103.33525883747
PC4,6.627187835662427e-06,0.999991003413195,3037.787462760971
PC5,3.594588184580571e-06,0.9999945980013796,1647.6966085292945
PC6,2.0046397122792743e-06,0.9999966026410918,918.8919246478608
PC7,1.830843702916538e-06,0.9999984334847947,839.2268613643125
PC8,1.5228487541720318e-06,0.9999999563335489,698.0473419224516
PC9,1.4863358933875882e-08,0.9999999711969079,6.813104825680746
PC10,1.0764278350786632e-08,0.9999999819611862,4.934157689589682
PC11,7.246748197222604e-09,0.9999999892079344,3.321783140179858
PC12,6.1906656466854665e-09,0.9999999953986001,2.8376932952537
PC13,3.802193625267511e-09,0.9999999992007937,1.7428593261945489
PC14,4.935209707400226e-10,0.9999999996943147,0.2262214161874302
PC15,3.0568532121256803e-10,1.0,0.14012082641336204
