,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Income,0.999913517830156,-0.012119329972095928,-0.005024034537227656,-0.0008387904870983824,0.0002754645132498885,-0.00021267784755624907,5.6126187610624774e-05,4.3217781837222455e-05,-4.910595966370778e-06,-6.33458188636551e-05,-1.8028896950236263e-05,-5.068978848819479e-05,3.202786914224482e-05,-8.584311360425997e-06,-6.911547111272622e-06
Kidhome,-1.284267008299776e-05,-0.0004606040046035762,-0.00021469465509024678,-0.0014813792356481983,-0.0001349142376630137,-0.0003041280715889766,0.000390603306688273,-5.476833974440214e-06,0.0028665463337214435,-0.04715634783235247,0.0072577745457260215,-0.08052332666795828,-0.022170095934050647,-0.5260093350560672,0.8450155799903665
Teenhome,8.679651948810479e-07,-0.00017546244816222514,-0.0013172946202138199,-0.0008605708942913352,0.0016190637863483974,-0.0002735410212511802,0.00046823273193353647,-6.311305027447793e-05,0.05884916351166485,-0.011373382277401943,0.0346201224665804,-0.04577068949054016,-0.06617654507251025,0.84738707698022,0.5202540666156359
Recency,9.343816727993907e-06,0.0021957800704482363,0.0037177021028986985,-0.0011596003111631393,0.023371899901118747,0.15521218882840096,0.9751678990587248,0.15614853248721597,0.002298804675476074,-0.0005488503168437807,-0.0013585100443065184,0.00015321688588178882,0.000586204806941323,-0.00024357767189236702,-0.0005384530053302058
MntWines,0.010786674793140239,0.9773683786096095,-0.20854290568900402,-0.022197159339920603,-0.024831853429546667,0.001131401610457098,-0.0009757719353958759,-0.00018459059822654986,-0.0050712384121320364,-0.0011844213724901782,-0.0006923448319968218,-0.001151684024609877,-0.001997118156046848,-6.696825146282403e-05,0.00019112794441070768
MntFruits,0.000939179560152404,0.01594640616549922,0.06864837928850227,0.3305205118814294,-0.22279385179217565,0.40833314566514256,-0.18708126743526016,0.7964380472224555,-0.002217053386705955,-0.009076485052272402,0.0022762710610580673,-0.002268150699389932,-0.0020702172360311404,0.0005851590578272869,0.00038386232353611566
MntMeatProducts,0.007215709573734249,0.20497454127787607,0.9675804955444802,-0.1324252688972326,0.06266315857483924,-0.010751757964391548,-0.0024942073091446873,-0.010095811622108562,0.002876649859397372,-0.0007504333175608807,-0.00455949936197456,-0.0018636614406241086,-0.0006966895533882512,0.0008372978010071756,0.00044560233334471616
MntFishProducts,0.001323676823897993,0.02314123162540399,0.10406039205934847,0.5979398649679145,-0.5268855665578378,-0.576971942732425,0.11777869202834353,-0.08157620998587321,0.0012196153108149053,-0.007019456624971514,-0.0017859746938380912,-0.0035799805358918014,-0.0017126956337131939,0.0008001950216214299,0.00047206852812646527
MntSweetProducts,0.0009993925790623842,0.012986434227414762,0.06247764437570559,0.3349776897729086,-0.2744380326344378,0.6891127771570911,-0.010514307854994343,-0.5773044062585546,-0.007377484109723718,-0.004115583622594049,0.0015555426133033894,-0.007651349178881928,-8.875011607233394e-05,0.0008719499033278018,0.0004088580762140294
MntGoldProds,0.000936968103145783,0.03984070327707804,0.027802581382797443,0.6345995346615317,0.7695522696737828,-0.03488469382223153,-0.006704654382827257,-0.034992121889809005,-0.012565148947009441,0.0014048995605449872,-0.004523057569878957,-0.006602274543151874,0.0009335349184857547,-0.0003538835608622667,0.0005894152337592694
NumDealsPurchases,-9.691084263614189e-06,0.0008023233988316085,-0.001284549398056079,-0.0005181212134414561,0.007126662862051459,-0.0009906813858301627,5.4576675133456384e-05,-0.0017273025677262096,0.4619023145019837,-0.15726437568431992,0.4687568779102498,-0.5179544329619452,-0.5087605143030152,-0.05335426831613748,-0.11028646455656238
NumWebPurchases,5.8431885319006395e-05,0.0034671187541474896,-0.001950927645054349,0.010444021526453564,0.007069406748900129,0.006441947964575561,-0.002421216228186967,-0.005305873563619082,0.6810849510517024,-0.2757799986388878,-0.22780628391353505,0.6219293449598504,-0.14044184889496433,-0.031503883912296644,0.020250018460220773
NumCatalogPurchases,9.47149317605865e-05,0.0030706830971334374,0.005060433217217559,0.006125820750206036,0.0023783474993780704,-0.0009543369291793357,0.001281637312616362,-0.0015175058252259854,-0.004763855095858128,0.040756505656224,0.8455852964311641,0.4079300988020754,0.33959255387630916,-0.00824544174796067,0.03769057548608739
NumStorePurchases,9.520258995636066e-05,0.003838923933666552,-0.0002663704564066547,0.010277121108040074,-0.0039002813909581,0.004705191003136219,-0.002003788633605978,0.00296918930339987,0.47853655662327493,0.8304691246024928,-0.07247048607808242,-0.1302089523882606,0.2404138147715582,-0.02276856926777917,0.02509233946542277
NumWebVisitsMonth,-7.330617261019036e-05,0.0014080910849624836,-0.0028736147361009623,-0.0032934938680015393,0.0036988823731044828,-0.0007821392080975164,-0.0013317171464806408,-0.0005903206823597908,0.3000336309597615,-0.4531747295223406,-0.08245744495724926,-0.39097554490209335,0.7371791884633623,0.028655196492634576,-0.025682550615732484
